instance_id,num_agents,num_resources,prop_status,prop_time_in_seconds,prop_num_sharing,prop_product,ef_status,ef_time_in_seconds,ef_num_sharing,ef_product,maxprod1_status,maxprod1_time_in_seconds,maxprod1_num_sharing,maxprod1_product,maxprod0_status,maxprod0_time_in_seconds,maxprod0_num_sharing,maxprod0_product
1723,2,3,OK,0.022345,1,294335.86662400013,OK,0.027811000000000002,1,294880.80240000016,OK,0.019738,1,296012.45078399987,,,,
1726,2,4,OK,0.023042,0,495666.0,OK,0.038528,0,495666.0,OK,0.187722,1,498947.2006500005,,,,
1730,3,4,OK,0.064457,1,77101289.91961208,OK,0.0757,1,80017111.52826305,OK,0.49081400000000003,2,81622385.09081994,,,,
1745,2,3,OK,0.022223,0,428270.00000000023,OK,0.030997000000000007,0,428270.00000000023,OK,0.063394,1,429735.47955200006,,,,
1762,3,6,OK,0.11008699999999999,1,38874729.06345612,OK,0.691969,1,47535768.76039202,OK,0.355377,1,47549282.34375009,,,,
1765,2,3,OK,0.023749,0,429632.00000000006,OK,0.031038999999999997,0,429632.00000000006,OK,0.043108,1,433147.8295039999,,,,
1766,2,5,OK,0.036537,0,285499.9999999997,OK,0.044955,0,285499.9999999997,OK,0.065256,1,288166.85312000004,,,,
1775,2,3,OK,0.022883,1,250500.24999999988,OK,0.046773,1,250500.24999999988,OK,0.020418000000000002,1,250500.24999999988,,,,
1815,2,3,OK,0.022999000000000002,1,249999.99999999985,OK,0.028026,1,249999.99999999985,OK,0.01908,1,249999.99999999985,,,,
1826,2,3,OK,0.021377,1,309862.09858800005,OK,0.027748000000000002,1,315840.0069120004,OK,0.018137,1,321563.0360280002,,,,
1842,3,5,OK,0.037848,0,414000000.0000001,OK,0.066761,0,414000000.0000001,OK,0.037943,0,414000000.0000001,,,,
1843,3,4,OK,0.032205000000000004,0,119219472.00000022,OK,4.173614,2,119233775.60913138,OK,2.363147,2,219480915.53555825,,,,
1850,3,5,OK,0.190141,2,37037031.91918686,OK,0.40321999999999997,2,37037031.91918686,OK,0.21225300000000002,2,37037029.78834547,,,,
1854,2,10,OK,0.057964999999999996,1,266221.503392,OK,0.077669,1,266369.5592999998,OK,0.058936,1,266670.72931199986,,,,
1866,3,3,OK,0.147679,1,40244067.50000005,OK,0.338163,1,40247000.67500001,OK,0.589519,2,40304991.55200004,,,,
1878,4,8,OK,0.088149,0,19526472000.0,OK,1.0108139999999999,0,35446296600.00006,TimeOut,999.001127,3,0.0,,,,
1883,3,3,OK,0.041093,1,139912873.09999996,OK,0.069401,1,140525000.00000003,OK,0.043735,1,140525000.00000003,,,,
1891,2,4,OK,0.040099,1,259900.51230000012,OK,0.06214500000000001,1,259914.8296750001,OK,0.042642,1,260073.6916750003,,,,
1901,3,3,OK,0.564538,2,43004371.410000056,OK,1.609257,2,76094777.05199988,OK,0.745632,2,77777677.40399991,,,,
1933,2,3,OK,0.019187,0,355774.9999999996,OK,0.029498000000000007,0,355774.9999999996,OK,0.019003,0,355774.9999999996,,,,
